second,Volt
1.0195,0.176382
1.022,0
1.0245,0.047739
1.027,0.031658
1.0295,-0.015578
1.032,-0.023618
1.0345,-0.048241
1.037,-0.071859
1.0395,-0.152261
1.042,0.296985
1.0445,-0.136181
1.047,0.063819
1.0495,-0.024121
1.052,-0.007538
1.0545,0.015578
1.057,-0.055779
1.0595,-0.031658
1.062,0.080402
1.0645,0.136683
1.067,0.128141
1.0695,0.039698
1.072,-0.039698
1.0745,-0.00804
1.077,-0.024121
1.0795,-0.039698
1.082,0.079899
1.0845,-0.015578
1.087,-0.120101
1.0895,0.055779
1.092,-0.055779
1.0945,0.00804
1.097,-0.031658
1.0995,0.015578
1.102,0.047739
1.1045,-0.024121
1.107,-0.224623
1.1095,0.184422
1.112,-0.08794
1.1145,-0.007538
1.117,-0.040201
1.1195,0.00804
1.122,0
1.1245,-0.055779
1.127,-0.079899
1.1295,0.201005
1.132,-0.280905
1.1345,0.040201
1.137,0.007538
1.1395,-0.023618
1.142,0.007538
1.1445,-0.032161
1.147,-0.063819
1.1495,0.079899
1.152,-0.01608
1.1545,-0.11206
1.157,0.031658
1.1595,-0.056281
1.162,-0.023618
1.1645,-0.01608
1.167,-0.031658
1.1695,0.040201
1.172,-0.01608
1.1745,0.120603
1.177,0.120101
1.1795,-0.08794
1.182,0
1.1845,0.01608
1.187,-0.007538
1.1895,-0.00804
1.192,-0.055779
1.1945,-0.10402
1.197,0.079899
1.1995,0.240704
1.202,-0.063819
1.2045,0.00804
1.207,0
1.2095,-0.031658
1.212,0.031658
1.2145,-0.055779
1.217,0.079899
1.2195,-0.256784
1.222,-0.240704
1.2245,-0.00804
1.227,0.031658
1.2295,0.00804
1.232,-0.023618
1.2345,0
1.237,0.039698
1.2395,0.09598
1.242,-0.208543
1.2445,0.071859
1.247,0.055779
1.2495,0.007538
1.252,-0.039698
1.2545,-0.023618
1.257,-0.007538
1.2595,0.055779
1.262,-0.11206
1.2645,0.240704
1.267,0.11206
1.2695,-0.024121
1.272,0.039698
1.2745,0
1.277,-0.015578
1.2795,-0.015578
1.282,-0.064322
1.2845,-0.047739
1.287,0.248744
1.2895,-0.224623
1.292,-0.007538
1.2945,0.023618
1.297,-0.015578
1.2995,0
1.302,-0.040201
1.3045,-0.032161
1.307,0.015578
1.3095,-0.209045
1.312,0.192462
1.3145,0.079899
1.317,-0.040201
1.3195,0.00804
1.322,-0.00804
1.3245,-0.039698
1.327,0.040201
1.3295,0.09598
1.332,-0.208543
1.3345,0.192462
1.337,-0.080402
1.3395,0.039698
1.342,0.007538
1.3445,-0.031658
1.347,0.01608
1.3495,0.007538
1.352,-0.104523
1.3545,-0.160302
1.357,0
1.3595,-0.079899
1.362,0.031658
1.3645,-0.031658
1.367,-0.031658
1.3695,0.023618
1.372,-0.015578
1.3745,0.032161
1.377,0.152261
1.3795,-0.023618
1.382,0.01608
1.3845,-0.039698
1.387,-0.023618
1.3895,0
1.392,-0.032161
1.3945,-0.015578
1.397,-0.031658
1.3995,-0.264824
1.402,0
1.4045,-0.032161
1.407,-0.031658
1.4095,0.015578
1.412,-0.023618
1.4145,0.031658
1.417,-0.039698
1.4195,-0.071859
1.422,0.152764
1.4245,0.144221
1.427,-0.015578
1.4295,-0.01608
1.432,0
1.4345,-0.00804
1.437,0.039698
1.4395,-0.063819
1.442,-0.00804
1.4445,-0.080402
1.447,0.071859
1.4495,-0.071859
1.452,-0.01608
1.4545,0.015578
1.457,-0.01608
1.4595,-0.01608
1.462,-0.039698
1.4645,-0.079899
1.467,-0.168844
1.4695,0.032161
1.472,0.039698
1.4745,-0.047739
1.477,0
1.4795,-0.00804
1.482,-0.023618
1.4845,-0.01608
1.487,-0.08794
1.4895,-0.272864
1.492,0.047739
1.4945,-0.063819
1.497,-0.023618
1.4995,0.015578
1.502,0
1.5045,0.031658
1.507,-0.079899
1.5095,-0.032161
1.512,0.208543
1.5145,-0.104523
1.517,-0.039698
1.5195,0.031658
1.522,-0.015578
1.5245,0
1.527,0.023618
1.5295,-0.047739
1.532,-0.128141
1.5345,-0.184422
1.537,-0.128141
1.5395,0.063819
1.542,0.023618
1.5445,0.015578
1.547,0
1.5495,-0.023618
1.552,-0.063819
1.5545,0.160302
1.557,0.168342
1.5595,0.11206
1.562,-0.047739
1.5645,-0.047739
1.567,-0.00804
1.5695,-0.023618
1.572,0.00804
1.5745,0.023618
1.577,-0.128141
1.5795,0.079899
1.582,-0.071859
1.5845,-0.040201
1.587,0.015578
1.5895,-0.031658
1.592,-0.023618
1.5945,0.023618
1.597,-0.007538
1.5995,-0.08794
1.602,0.208543
1.6045,-0.063819
1.607,0.047739
1.6095,0.00804
1.612,-0.015578
1.6145,0.023618
1.617,-0.039698
1.6195,0.00804
1.622,0.144221
1.6245,0.032161
1.627,0.064322
1.6295,0.039698
1.632,-0.047739
1.6345,-0.00804
1.637,-0.015578
1.6395,-0.039698
1.642,-0.039698
1.6445,-0.024121
1.647,0.09598
1.6495,0.055779
1.652,-0.056281
1.6545,-0.031658
1.657,-0.00804
1.6595,0.007538
1.662,0.047739
